Indicator,2020,2021,2022
CyprusGDP,32415.132,32415.132,32415.132
CzechiaDeaths,471.95,2511.628,941.115
CzechiaCases,62721.771,134195.96,213476.752
CzechiaGDP,32605.906,32605.906,32605.906
Democratic Republic of CongoDeaths,71.294,7.889,3.098
Democratic Republic of CongoCases,10684.737,465.476,354.565
Democratic Republic of CongoGDP,808.133,808.133,808.133
DenmarkDeaths,126.034,338.64,709.75
DenmarkCases,8801.909,59211.259,489508.369
DenmarkGDP,46682.515,46682.515,46682.515
DjiboutiDeaths,122.931,108.84,5.353
DjiboutiCases,14973.669,7056.239,1963.685
DjiboutiGDP,2705.406,2705.406,2705.406
DominicaDeaths,0,439.81,494.786
DominicaCases,687.207,65601.033,138307.81
DominicaGDP,9673.367,9673.367,9673.367
Dominican RepublicDeaths,282.834,168.109,21.894
Dominican RepublicCases,23842.539,22774.077,22725.714
Dominican RepublicGDP,14600.861,14600.861,14600.861
EcuadorDeaths,490.647,639.411,160.053
EcuadorCases,10808.712,19386.752,26634.961
EcuadorGDP,10581.936,10581.936,10581.936
EgyptDeaths,59.71,111.546,55.341
EgyptCases,1569.62,2013.359,1663.466
EgyptGDP,10550.206,10550.206,10550.206
Equatorial GuineaDeaths,49.554,49.551,10.149
Equatorial GuineaCases,3034.779,4908.302,2234.729
Equatorial GuineaGDP,22604.873,22604.873,22604.873
EritreaDeaths,0,12.206,15.728
EritreaCases,258.866,1722.285,908.77
EritreaGDP,1510.459,1510.459,1510.459
EstoniaDeaths,59.567,1063.285,880.041
EstoniaCases,3376.603,137297.3,309942.057
EstoniaGDP,29481.252,29481.252,29481.252
EswatiniDeaths,172.691,937.023,149.781
EswatiniCases,12825.085,33725.297,22441.915
EswatiniGDP,7738.975,7738.975,7738.975
EthiopiaDeaths,11.556,40.119,9.668
EthiopiaCases,922.974,2182.919,1057.386
EthiopiaGDP,1729.927,1729.927,1729.927
Faeroe IslandsDeaths,63.675,37.652,489.481
Faeroe IslandsCases,33314.998,18035.644,625223.566
Faeroe IslandsGDP,,,
Falkland IslandsDeaths,0,0,0
Falkland IslandsCases,3420.154,14996.057,476979.749
Falkland IslandsGDP,,,
