Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,BMU,4.679999999,4.469999999,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426114,6.31229236,3.437500001,1.812688822,1.483679526,0.877192983,3.76811594,8.938547488,5.897435896,1.452784504,2.147971361,7.943925233,2.380952381,-5.285412261,2.008928572,0.481400436,-2.003484319,6.666666666,3.750000001,4.056224899,0.443844075,0.019212297,-3.5343821,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.853458192,1.852590029
Bolivia,BOL,2.089295936,5.578917859,6.797625777,3.956596532,4.913441956,7.170589663,6.317219517,8.529443084,4.474097331,5.231029301,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616375,-3.938737928,-4.0421214,-0.200665698,-1.676389781,-2.5738842,2.463484616,2.909497961,3.790130964,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.105804204
Brazil,BRA,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.544072051,4.924690005,5.852870364,4.223793634,2.208864051,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,-0.125812003,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.878676334,4.619421621
Botswana,BWA,6.34328372,6.666667813,5.921045097,6.832300931,5.81395506,6.344019096,5.924559941,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795216,8.446250381,10.64737671,12.01204009,14.33280159,12.14858892,11.98690139,9.064857465,12.16553186,13.14672905,8.545383639,7.125271268,8.172924332,11.88192814,19.44996951,13.05940589,6.772821949,7.458709171,2.917070304,1.916107019,3.627916077,7.030410309,5.829800007,8.3258909,0.443663522,9.667240795,1.987695751,0.250573957,6.06953088,4.625894727,2.705821729,4.556645673,8.363871096,8.276763793,6.2454373,-7.652310196,8.563630828,6.048361448,4.456144448,11.34339701,4.149262247,-5.717682557,7.036896951,4.00344974,3.98039539,3.348910139,-8.726410346,11.36413637
Chile,CHL,5.245271884,4.026685623,5.84014014,2.557220538,0.950272505,11.23624246,3.615999854,3.59201333,3.937983281,1.82896697,9.422686211,-1.019947794,-5.029248356,2.382149333,-12.91210105,3.832584005,10.44468638,7.701103603,8.418304687,7.986620757,6.525370366,-11.01430506,-5.017420525,4.103683239,4.009916203,5.377692323,6.460468528,7.345110454,9.923382897,3.333565474,7.804392186,11.16670773,6.588783827,5.030197977,8.933295869,6.802916596,7.391739268,4.180886627,-0.273631398,4.971621488,3.154034925,3.202799135,4.723245269,6.674254168,5.837045719,6.049990826,5.168230985,3.789392806,-1.118037236,5.851651022,6.223896785,6.155340019,3.308508247,1.792649471,2.1519425,1.753038749,1.357695373,3.990029478,0.770539584,-5.978224062,11.6682247
China,CHN,-27.27,-5.57999999,10.3,18.17999999,16.95,10.65,-5.770000004,-4.099999987,16.94,19.3,7.059999999,3.81,7.760000001,2.310000003,8.719999998,-1.570000002,7.570000001,11.32597799,7.59132468,7.834145016,5.112761091,9.017113914,10.77020251,15.19154002,13.43067752,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786084,14.22452959,13.8837293,13.03680663,10.95395434,9.922556752,9.236779892,7.845951788,7.661651501,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.65067892,9.398725632,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.950500754,2.239701857,8.109792581
Cote d'Ivoire,CIV,9.932555156,1.22699449,14.49035587,17.61308783,-3.109654273,11.57735969,4.598151785,12.54824864,9.539218771,10.37503184,9.456637662,4.236625012,5.939197536,4.327380858,8.252886367,12.91639744,7.314459154,10.90945365,2.394407462,-10.95769726,3.500498909,0.200822347,-3.900240441,-2.701261435,4.501223181,3.259348766,-0.348972914,1.136483966,2.948004943,-1.095908412,0.040925172,-0.244560611,-0.1924851,0.811206684,7.125744724,7.729327422,9.648840049,4.26390594,1.166859983,-0.265789464,-2.15401249,-2.730526474,-4.725866586,3.185038229,0.996065562,2.815578596,1.101429764,4.782665981,3.603321566,6.848049401,-5.370447241,7.620411763,10.76021313,9.371999942,7.194090645,7.179207824,7.359638088,6.89028432,6.231709513,1.958332479,7.021501836
Cameroon,CMR,1.183680811,3.041559051,3.742550321,3.547159695,2.026053715,4.614955619,-10.91206559,6.346323854,4.901479524,3.092068234,3.479707817,2.673843293,5.355680779,10.73426226,11.24505878,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291668,17.08268225,7.516202605,6.866830565,7.474572544,8.063161671,6.771663084,-2.146650215,-7.823631975,-1.819120512,-6.105697646,-3.808599373,-3.100003211,-7.932066574,1.876809226,2.894001377,4.21507215,4.527313766,4.725534848,4.511304221,3.832417795,4.324261192,4.477026829,5.453153691,7.048862823,2.228270206,3.809583273,4.327589013,2.847677889,2.579251775,2.899024724,3.379211288,4.625978719,4.995529159,5.719818144,5.666952991,4.535794236,3.541176549,3.95551424,3.475059979,0.491914742,3.486599241
"Congo, Dem. Rep.",COD,-10.85137608,21.20069751,5.213990134,-2.440223564,0.997348794,6.775485302,-0.985738661,4.332698464,9.328837439,-0.245056575,6.005018067,0.151135514,8.137275887,3.130585879,-4.981631005,-5.309002081,0.760793602,-5.345291528,0.430088262,2.194912924,2.350524075,-0.457677609,1.411703688,5.541074022,0.467850951,4.717209653,2.675642451,0.470381337,-1.266050636,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288097,6.91616712,2.399398914,3.726947653,5.8211211,4.384528881,1.735422764,5.712203681
Colombia,COL,5.089216984,5.411889613,3.286707554,6.166941324,3.60001139,5.236735862,4.134864166,5.933117999,6.102517309,6.207796961,5.960727946,7.669147544,6.722954969,5.745757189,2.323255281,4.728368735,4.158505453,8.469900838,5.379118988,4.087353676,2.276872745,0.948420787,1.573956038,3.350683739,3.107106196,5.824076137,5.368932148,4.064173245,3.41409611,4.281998331,2.001607597,4.044929438,5.385409939,5.814661908,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,2.924861483,1.677898308,2.503980466,3.918271904,5.333022067,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.048151208,10.5632927
